OMB Control No,Agency/Sub,Title,Request Type,Date Received,Concluded Date,Conclusion Action,Current Expiration Date,No. of ICs,No. of Forms,AdminYear,Web_ICR Ref. No.,Web_Request Type,Web_Date Received By OIRA,Web_Conclusion Date,Web_Conclusion Action,Request Year
0648-0475,DOC/NOAA,Northeast Multispecies Days-at-Sea Leasing Program,Extension without change of a currently approved collection,12/12/2013 0:00,1/15/2014 0:00,Approved with change,11/30/2016 0:00,2,2,2016,201310-0648-006,Discontinue,10/18/2016,10/18/2016,Approved,2016
0648-0570,DOC/NOAA,Alaska Crab Cost Recovery,No material or nonsubstantive change to a currently approved collection,2/25/2015 0:00,2/27/2015 0:00,Approved without change,2/1/2016 0:00,2,2,2016,201502-0648-009,Discontinue,1/21/2016,2/1/2016,Approved,2016
0648-0615,DOC/NOAA,NOAA Constituent Engagement Survey,Revision of a currently approved collection,10/31/2013 0:00,12/13/2013 0:00,Approved without change,8/31/2016 0:00,1,1,2016,201310-0648-008,Discontinue,8/25/2016,8/26/2016,Approved,2016
0648-0666,DOC/NOAA,NERRS Science Collaboration Evaluation Survey,New collection (Request for a new OMB Control Number),2/14/2013 0:00,4/8/2013 0:00,Approved without change,2/1/2016 0:00,1,1,2016,201301-0648-008,Discontinue,1/22/2016,2/1/2016,Approved,2016
0648-0667,DOC/NOAA,Socio-Economic Profile of Small-Scale Commercial Fisheries (SSCF) in the U.S. Caribbean,New collection (Request for a new OMB Control Number),4/3/2013 0:00,5/10/2013 0:00,Approved without change,5/31/2016 0:00,2,2,2016,201302-0648-009,Discontinue,5/9/2016,5/9/2016,Approved,2016
0648-0668,DOC/NOAA,Cook Inlet Beluga Whale (CIBW) Economic Survey,New collection (Request for a new OMB Control Number),4/19/2013 0:00,5/29/2013 0:00,Approved without change,2/1/2016 0:00,2,1,2016,201304-0648-005,Discontinue,1/13/2016,2/1/2016,Approved,2016
0648-0669,DOC/NOAA,Gulf of Mexico Fishery Management Council Stakeholder Survey,New collection (Request for a new OMB Control Number),3/27/2013 0:00,6/14/2013 0:00,Approved without change,2/1/2016 0:00,1,2,2016,201302-0648-002,Discontinue,1/19/2016,2/1/2016,Approved,2016
0648-0670,DOC/NOAA,Economic Expenditure Survey of Wreckfish (EESW) in the U.S. South Atlantic Region,New collection (Request for a new OMB Control Number),4/9/2013 0:00,6/18/2013 0:00,Approved without change,3/31/2016 0:00,1,1,2016,201302-0648-012,Discontinue,3/24/2016,3/24/2016,Approved,2016
0648-0671,DOC/NOAA,"Characterizing Non-Commercial Shore-based Fishers and Fishing on St. Croix, U.S. Virgin Islands (USVI)",New collection (Request for a new OMB Control Number),5/14/2013 0:00,6/19/2013 0:00,Approved without change,2/29/2016 0:00,1,1,2016,201304-0648-008,Discontinue,2/11/2016,2/12/2016,Approved,2016
0648-0675,DOC/NOAA,Survey of Coastal Managers to Assess Needs for Ecological Forecasts,New collection (Request for a new OMB Control Number),6/24/2013 0:00,7/24/2013 0:00,Approved with change,4/30/2016 0:00,1,1,2016,201305-0648-007,Discontinue,4/4/2016,4/4/2016,Approved,2016
0648-0676,DOC/NOAA,Marine Recreational Information Program Longitudinal Survey of Recreational Fishing Participation,New collection (Request for a new OMB Control Number),7/10/2013 0:00,8/16/2013 0:00,Approved with change,3/31/2016 0:00,1,4,2016,201305-0648-012,Discontinue,3/18/2016,3/18/2016,Approved,2016
0648-0680,DOC/NOAA,Survey of Charter Boat and Head Boat Angler Interactions with Sea Turtles,New collection (Request for a new OMB Control Number),8/8/2013 0:00,9/12/2013 0:00,Approved without change,4/30/2016 0:00,2,2,2016,201307-0648-006,Discontinue,4/12/2016,4/12/2016,Approved,2016
0648-0684,DOC/NOAA,California Recreational Groundfish Survey,New collection (Request for a new OMB Control Number),10/21/2013 0:00,12/13/2013 0:00,Approved without change,7/31/2016 0:00,1,1,2016,201309-0648-001,Discontinue,7/13/2016,7/20/2016,Approved,2016
0648-0685,DOC/NOAA,Gulf of Alaska Trawl Groundfish Fishery Rationalization Social Study,New collection (Request for a new OMB Control Number),11/20/2013 0:00,12/20/2013 0:00,Approved with change,3/31/2016 0:00,1,2,2016,201311-0648-005,Discontinue,3/1/2016,3/2/2016,Approved,2016
0648-0686,DOC/NOAA,SOCIAL AND ECONOMIC IMPACTS OF HURRICANE SANDY ON THE COMMERCIAL AND RECREATIONAL FISHING INDUSTRIES OF NEW YORK AND NEW JERSEY,New collection (Request for a new OMB Control Number),11/25/2013 0:00,12/26/2013 0:00,Approved with change,6/30/2016 0:00,1,1,2016,201311-0648-006,Discontinue,6/3/2016,6/6/2016,Approved,2016
0648-0688,DOC/NOAA,Socio-Economic Assessment of Gulf of Mexico (SAGM) Fisheries Under the Grouper-Tilefish Individual Fishing Quota Program,New collection (Request for a new OMB Control Number),10/21/2013 0:00,1/15/2014 0:00,Approved with change,7/31/2016 0:00,1,1,2016,201309-0648-002,Discontinue,7/5/2016,7/8/2016,Approved,2016
0648-0691,DOC/NOAA,Cost-Earnings Survey of Hawaii and American Samoa Small Boat-Based Fisheries,New collection (Request for a new OMB Control Number),2/14/2014 0:00,3/25/2014 0:00,Approved without change,9/30/2016 0:00,1,2,2016,201401-0648-014,Discontinue,9/9/2016,9/9/2016,Approved,2016
0648-0692,DOC/NOAA,Survey of Fish Processors and Business Disruptions Caused By Hurricane Sandy,New collection (Request for a new OMB Control Number),11/5/2013 0:00,3/31/2014 0:00,Approved with change,11/1/2016 0:00,1,2,2016,201309-0648-005,Discontinue,10/28/2016,11/1/2016,Approved,2016
0648-0694,DOC/NOAA,Panel Member Survey to Develop Indicators of Resilient Coastal Tourism,New collection (Request for a new OMB Control Number),4/3/2014 0:00,5/6/2014 0:00,Approved without change,5/31/2016 0:00,2,1,2016,201403-0648-010,Discontinue,5/9/2016,5/9/2016,Approved,2016
0648-0695,DOC/NOAA,Recreational Bait and Tackle Store Economic Survey,No material or nonsubstantive change to a currently approved collection,8/22/2014 0:00,9/11/2014 0:00,Approved with change,11/30/2016 0:00,3,3,2016,201408-0648-007,Discontinue,11/2/2016,11/2/2016,Approved,2016
0648-0734,DOC/NOAA,Deep Water Horizon samples requests,New collection (Request for a new OMB Control Number),5/25/2016 0:00,5/25/2016 0:00,Approved without change,11/30/2016 0:00,1,1,2016,201605-0648-003,Discontinue,9/27/2016,10/5/2016,Approved,2016
0651-0072,DOC/PTO,America Invents Act Section 10 Patent Fee Adjustments,Revision of a currently approved collection,1/18/2013 0:00,1/18/2013 0:00,Approved without change,3/31/2016 0:00,127,0,2016,201301-0651-003,Discontinue,1/29/2016,3/21/2016,Approved,2016
0651-0074,DOC/PTO,Grace Period Study,New collection (Request for a new OMB Control Number),5/23/2013 0:00,9/30/2013 0:00,Approved without change,6/30/2016 0:00,1,0,2016,201305-0651-002,Discontinue,6/2/2016,6/29/2016,Approved,2016
0660-0032,DOC/NTIA,State Broadband Data and Development Grant Program - Broadband Mapping State Data Collection,Revision of a currently approved collection,5/2/2013 0:00,6/27/2013 0:00,Approved without change,5/31/2016 0:00,2,0,2016,201304-0660-001,Discontinue,4/15/2016,5/11/2016,Approved,2016
0693-0056,DOC/NIST,"NIST, Manufacturing Extension Partnership (MEP) Program Application Requirements.",Extension without change of a currently approved collection,12/7/2012 0:00,1/16/2013 0:00,Approved without change,2/3/2016 0:00,1,0,2016,201209-0693-001,Discontinue,1/27/2016,2/3/2016,Approved,2016
0693-0068,DOC/NIST,NIST MEP Advanced Manufacturing Jobs and Innovation Accelerator Challenge (AMJIAC) Client Impact Survey,New collection (Request for a new OMB Control Number),9/4/2013 0:00,10/17/2013 0:00,Approved without change,10/31/2016 0:00,1,0,2016,201307-0693-002,Discontinue,10/12/2016,10/13/2016,Approved,2016
0693-0069,DOC/NIST,NIST MEP Building Construction Technology Extension Pilot (BCTEP) Client Impact Survey,New collection (Request for a new OMB Control Number),10/22/2013 0:00,11/25/2013 0:00,Approved with change,11/30/2016 0:00,1,0,2016,201307-0693-001,Discontinue,11/3/2016,11/8/2016,Approved,2016
0694-0009,DOC/BIS,Triangular Transactions Covered by a U.S. Import Certificate,Extension without change of a currently approved collection,12/20/2013 0:00,1/22/2014 0:00,Approved without change,12/31/2016 0:00,1,0,2016,201309-0694-003,Discontinue,10/31/2016,11/8/2016,Approved,2016
0694-0089,DOC/BIS,Special Comprehensive License,Extension without change of a currently approved collection,12/13/2013 0:00,1/14/2014 0:00,Approved without change,10/31/2016 0:00,3,2,2016,201307-0694-002,Discontinue,10/14/2016,10/22/2016,Approved,2016
0701-0101,DOD/AF,Air Force ROTC College Scholarship Application,Reinstatement with change of a previously approved collection,8/1/2013 0:00,9/23/2013 0:00,Approved without change,12/31/2016 0:00,1,0,2016,201308-0701-001,Discontinue,12/31/2016,12/31/2016,Approved,2016
0701-0159,DOD/AF,Victim/Witness Feedback,New collection (Request for a new OMB Control Number),10/31/2013 0:00,12/11/2013 0:00,Approved with change,12/31/2016 0:00,1,0,2016,201309-0701-001,Discontinue,12/31/2016,12/31/2016,Approved,2016
0704-0456,DOD/DODDEP,DoDEA Sure Start Parent Questionnaire,Reinstatement with change of a previously approved collection,12/11/2012 0:00,2/21/2013 0:00,Approved without change,2/29/2016 0:00,1,0,2016,201212-0704-004,Discontinue,2/29/2016,2/29/2016,Approved,2016
0704-0472,DOD/DODDEP,Voice of Industry Survey,Revision of a currently approved collection,7/26/2013 0:00,8/26/2013 0:00,Approved without change,8/31/2016 0:00,1,0,2016,201307-0704-006,Discontinue,8/31/2016,8/31/2016,Approved,2016
0704-0499,DOD/DODDEP,Vietnam War Commemoration After-Action Report,No material or nonsubstantive change to a currently approved collection,2/5/2015 0:00,2/6/2015 0:00,Approved without change,7/31/2016 0:00,1,1,2016,201502-0704-001,Discontinue,7/26/2016,7/27/2016,Approved,2016
0704-0505,DOD/DODDEP,Boren Scholarship and Fellowship Survey,New collection (Request for a new OMB Control Number),10/17/2013 0:00,12/11/2013 0:00,Approved with change,12/31/2016 0:00,1,0,2016,201310-0704-001,Discontinue,12/31/2016,12/31/2016,Approved,2016
0704-0506,DOD/DODDEP,How Differences in Pedagogical Methods Impact ChalleNGe Program Outcomes,New collection (Request for a new OMB Control Number),8/6/2013 0:00,12/11/2013 0:00,Approved with change,12/31/2016 0:00,1,0,2016,201308-0704-001,Discontinue,12/31/2016,12/31/2016,Approved,2016
0704-0544,DOD/DODDEP,"Middle East Focus Groups, Cognitive Interviews, and Survey",New collection (Request for a new OMB Control Number),9/23/2015 0:00,11/4/2015 0:00,Approved with change,6/1/2016 0:00,1,0,2016,201509-0704-002,Discontinue,5/31/2016,6/1/2016,Approved,2016
0704-0550,DOD/DODDEP,Report on Voluntary Military Education Programs Advertising and Marketing,New collection (Request for a new OMB Control Number),12/24/2015 0:00,2/9/2016 0:00,Approved with change,8/31/2016 0:00,1,0,2016,201512-0704-007,Discontinue,7/25/2016,7/25/2016,Approved,2016
0710-0015,DOD/COE,Assessing Human Response to Military Impulse Noise,Extension without change of a currently approved collection,5/30/2012 0:00,3/19/2013 0:00,Approved without change,3/31/2016 0:00,1,0,2016,201205-0710-001,Discontinue,3/31/2016,3/31/2016,Approved,2016
0720-0046,DOD/DODOASHA,"Women, Infants and Children Overseas Participant Satisfaction Survey",Extension without change of a currently approved collection,3/28/2014 0:00,6/12/2014 0:00,Approved without change,1/3/2017 0:00,1,0,2016,201403-0720-001,Discontinue,11/8/2016,1/3/2017,Approved,2016
0910-0530,HHS/FDA,Requirements for Submission of Labeling for Human Prescription Drugs and Biologics in Electronic Format,Extension without change of a currently approved collection,9/19/2013 0:00,10/23/2013 0:00,Approved without change,6/30/2016 0:00,1,0,2016,201309-0910-009,Discontinue,6/28/2016,6/29/2016,Approved,2016
0910-0622,HHS/FDA,Foreign Clinical Studies Not Conducted Under an IND,Existing collection in use without an OMB Control Number,6/14/2013 0:00,8/16/2013 0:00,Approved without change,7/1/2016 0:00,1,0,2016,201306-0910-008,Discontinue,6/28/2016,7/1/2016,Approved,2016
0910-0674,HHS/FDA,Pretesting of Tobacco Communications,No material or nonsubstantive change to a currently approved collection,6/23/2014 0:00,6/26/2014 0:00,Approved without change,1/31/2016 0:00,20,0,2016,201406-0910-011,Discontinue,12/28/2015,1/4/2016,Approved,2015
0910-0699,HHS/FDA,Applications for Food and Drug Administration Approval to Market a New Drug; Revision of Postmarketing Reporting Requirements--Discontinuance,Reinstatement without change of a previously approved collection,12/19/2012 0:00,2/8/2013 0:00,Approved without change,1/31/2016 0:00,2,0,2016,201212-0910-012,Discontinue,1/20/2016,1/28/2016,Approved,2016
0910-0729,HHS/FDA,Secure Supply Chain Pilot Program (SSCPP),New collection (Request for a new OMB Control Number),6/28/2012 0:00,2/4/2013 0:00,Approved without change,2/29/2016 0:00,4,0,2016,201206-0910-014,Discontinue,2/25/2016,2/25/2016,Approved,2016
0910-0730,HHS/FDA,Health Care Professional Survey of Prescription Drug Promotion,New collection (Request for a new OMB Control Number),10/12/2012 0:00,2/8/2013 0:00,Approved with change,2/29/2016 0:00,4,0,2016,201210-0910-001,Discontinue,2/25/2016,2/25/2016,Approved,2016
0910-0735,HHS/FDA,Experimental Study on Consumer Responses to Labeling Statements on Food Packages,New collection (Request for a new OMB Control Number),5/1/2012 0:00,3/21/2013 0:00,Approved with change,2/29/2016 0:00,6,0,2016,201205-0910-001,Discontinue,2/24/2016,2/25/2016,Approved,2016
0910-0737,HHS/FDA,Experimental Study: Examination of Corrective Direct-to-Consumer Television Advertising,No material or nonsubstantive change to a currently approved collection,2/3/2014 0:00,2/26/2014 0:00,Approved without change,2/29/2016 0:00,5,0,2016,201402-0910-001,Discontinue,2/25/2016,2/25/2016,Approved,2016
0910-0743,HHS/FDA,Communicating Composite Scores in Direct-to-Consumer (DTC) Prescription Drug Advertising,New collection (Request for a new OMB Control Number),5/16/2013 0:00,7/26/2013 0:00,Approved without change,7/31/2016 0:00,6,0,2016,201305-0910-005,Discontinue,7/8/2016,7/18/2016,Approved,2016
0910-0758,HHS/FDA,"Final Guidance for Industry on Chemistry, Manufacturing, and Controls Postapproval Manufacturing Changes to be Documented in Annual Reports",New collection (Request for a new OMB Control Number),11/6/2013 0:00,1/27/2014 0:00,Approved without change,7/1/2016 0:00,2,0,2016,201311-0910-001,Discontinue,6/28/2016,7/1/2016,Approved,2016
0910-0763,HHS/FDA,Experimental Studies on Consumer Responses to Nutrient Content Claims on Fortified Foods,New collection (Request for a new OMB Control Number),8/26/2013 0:00,3/18/2014 0:00,Approved with change,2/29/2016 0:00,6,0,2016,201308-0910-006,Discontinue,2/24/2016,2/25/2016,Approved,2016
0910-0764,HHS/FDA,Study; Consumer Responses to Nutrition Facts Labels w/Various Footnote Formats and Declaration of Added Sugars,New collection (Request for a new OMB Control Number),6/10/2013 0:00,3/18/2014 0:00,Approved with change,8/31/2016 0:00,6,0,2016,201306-0910-003,Discontinue,8/19/2016,8/22/2016,Approved,2016
0910-0799,HHS/FDA,Survey on the Occurrence of Foodborne Illness Risks Factors in Selected Institutional Foodservice and Retail Food Stores Facility Types (2015-2025),New collection (Request for a new OMB Control Number),6/25/2015 0:00,9/29/2015 0:00,Approved without change,1/5/2017 0:00,5,0,2016,202108-0910-002,Discontinue,9/9/2024,10/10/2024,Approved,2024
0915-0230,HHS/HSA,NHSC Recruitment and Retention Assistance Application,Revision of a currently approved collection,7/24/2014 0:00,8/26/2014 0:00,Approved without change,9/30/2016 0:00,1,1,2016,201406-0915-003,Discontinue,9/23/2016,9/26/2016,Approved,2016
0915-0304,HHS/HSA,Ryan White CARE Act Title I Minority AIDS Initiative (MAI) Report: Title I Report,Extension without change of a currently approved collection,7/10/2013 0:00,9/3/2013 0:00,Approved with change,4/30/2016 0:00,1,1,2016,201307-0915-001,Discontinue,4/11/2016,4/11/2016,Approved,2016
0915-0309,HHS/HSA,Health Care and Other Facilities Project Status Update Form,Extension without change of a currently approved collection,6/25/2013 0:00,8/6/2013 0:00,Approved with change,3/31/2016 0:00,2,2,2016,201306-0915-006,Discontinue,3/24/2016,3/24/2016,Approved,2016
0915-0313,HHS/HSA,Children's Hospital Graduate Medical Education Program Annual Report,Extension without change of a currently approved collection,8/7/2013 0:00,9/16/2013 0:00,Approved without change,4/30/2016 0:00,2,3,2016,201308-0915-001,Discontinue,4/19/2016,4/19/2016,Approved,2016
0915-0319,HHS/HSA,Data Collection Tool for Rural Health Community-Based Grant Programs,Revision of a currently approved collection,6/23/2014 0:00,8/5/2014 0:00,Approved without change,12/31/2016 0:00,5,7,2016,201406-0915-001,Discontinue,12/23/2016,12/23/2016,Approved,2016
